datetime,CHW,MTHW,CHW_on,MTHW_on,simul
2023-05-24 08:00:00,1456.06,785.77,True,True,True
2023-05-24 09:00:00,1145.09,711.98,True,True,True
2023-05-24 10:00:00,1349.21,707.72,True,True,True
2023-05-25 03:00:00,1294.69,872.1,True,True,True
2023-05-25 04:00:00,1445.38,815.48,True,True,True
2023-05-25 05:00:00,1184.87,773.22,True,True,True
2023-05-25 06:00:00,920.42,730.89,True,True,True
2023-05-25 07:00:00,903.33,734.37,True,True,True
2023-05-25 08:00:00,817.99,731.92,True,True,True
2023-05-25 10:00:00,808.4,706.38,True,True,True
2023-05-25 22:00:00,1102.17,739.04,True,True,True
2023-05-26 03:00:00,779.94,986.37,True,True,True
2023-05-26 09:00:00,839.04,732.45,True,True,True
2023-05-26 21:00:00,1343.35,701.58,True,True,True
2023-05-27 07:00:00,813.28,1001.43,True,True,True
2023-05-27 08:00:00,785.25,858.66,True,True,True
2023-05-28 01:00:00,1225.07,735.39,True,True,True
2023-05-28 02:00:00,1129.17,712.04,True,True,True
2023-05-28 06:00:00,1151.88,726.32,True,True,True
2023-05-28 07:00:00,1071.94,929.61,True,True,True
2023-05-28 08:00:00,881.87,852.95,True,True,True
2023-05-28 09:00:00,1053.01,739.6,True,True,True
2023-05-28 10:00:00,1245.15,728.97,True,True,True
2023-05-29 02:00:00,1922.59,745.75,True,True,True
2023-05-29 03:00:00,1879.01,920.77,True,True,True
2023-05-29 04:00:00,2067.9,861.28,True,True,True
2023-05-29 05:00:00,1934.44,766.75,True,True,True
2023-05-29 06:00:00,1868.63,726.28,True,True,True
2023-05-29 07:00:00,1760.8,758.93,True,True,True
2023-05-29 08:00:00,1835.09,771.93,True,True,True
2023-05-29 09:00:00,1838.19,727.31,True,True,True
2023-05-29 10:00:00,2015.14,755.83,True,True,True
2023-05-29 11:00:00,1675.17,772.66,True,True,True
2023-05-29 12:00:00,1651.75,759.78,True,True,True
2023-05-29 22:00:00,1688.55,704.23,True,True,True
2023-05-30 03:00:00,1593.83,942.5,True,True,True
2023-05-30 04:00:00,1716.84,921.22,True,True,True
2023-05-30 05:00:00,1694.25,773.7,True,True,True
2023-05-30 06:00:00,1644.51,767.47,True,True,True
2023-05-30 07:00:00,1408.38,759.07,True,True,True
2023-05-30 08:00:00,1292.28,778.94,True,True,True
2023-05-30 09:00:00,1299.32,771.69,True,True,True
2023-05-30 10:00:00,1242.48,775.93,True,True,True
2023-05-30 11:00:00,1385.58,719.23,True,True,True
2023-05-31 05:00:00,1595.2,808.04,True,True,True
2023-05-31 06:00:00,1431.39,789.76,True,True,True
2023-05-31 07:00:00,1114.51,768.23,True,True,True
2023-05-31 08:00:00,1432.81,798.77,True,True,True
2023-05-31 09:00:00,1132.52,773.96,True,True,True
2023-05-31 10:00:00,1503.82,713.75,True,True,True
2023-06-01 03:00:00,1058.92,925.65,True,True,True
2023-06-01 04:00:00,1104.79,852.32,True,True,True
2023-06-01 05:00:00,1027.55,742.41,True,True,True
2023-06-01 06:00:00,860.0,732.3,True,True,True
2023-06-01 07:00:00,928.01,740.22,True,True,True
2023-06-01 08:00:00,1496.44,747.57,True,True,True
2023-06-01 09:00:00,1643.28,751.19,True,True,True
2023-06-02 03:00:00,1339.4,790.06,True,True,True
2023-06-02 04:00:00,1354.67,792.03,True,True,True
2023-06-02 05:00:00,1226.07,705.57,True,True,True
2023-06-02 06:00:00,1006.21,724.89,True,True,True
2023-06-02 07:00:00,1126.32,722.15,True,True,True
2023-06-02 08:00:00,1588.94,724.31,True,True,True
2023-06-04 06:00:00,1543.92,752.33,True,True,True
2023-06-04 07:00:00,1421.3,873.19,True,True,True
2023-06-04 08:00:00,1291.54,812.53,True,True,True
2023-06-04 09:00:00,1264.56,705.95,True,True,True
2023-06-04 12:00:00,1343.51,736.76,True,True,True
2023-06-04 13:00:00,1450.84,718.66,True,True,True
2023-06-04 14:00:00,1551.81,716.88,True,True,True
2023-06-04 15:00:00,1565.86,703.79,True,True,True
2023-06-05 02:00:00,1266.0,840.62,True,True,True
2023-06-05 03:00:00,1214.66,967.83,True,True,True
2023-06-05 04:00:00,1073.25,931.31,True,True,True
2023-06-05 05:00:00,1008.04,812.73,True,True,True
2023-06-05 06:00:00,918.89,768.19,True,True,True
2023-06-05 07:00:00,1042.79,778.22,True,True,True
2023-06-05 08:00:00,1579.54,733.54,True,True,True
2023-06-05 09:00:00,1585.9,747.31,True,True,True
2023-06-05 10:00:00,1561.18,736.94,True,True,True
2023-06-05 22:00:00,1484.67,709.68,True,True,True
2023-06-06 03:00:00,1186.22,896.87,True,True,True
2023-06-06 04:00:00,1163.33,789.3,True,True,True
2023-06-06 06:00:00,887.79,713.1,True,True,True
2023-06-06 07:00:00,983.85,728.85,True,True,True
2023-06-06 08:00:00,1232.45,759.8,True,True,True
2023-06-06 09:00:00,1438.29,818.12,True,True,True
2023-06-06 10:00:00,1541.64,705.77,True,True,True
2023-06-07 05:00:00,1823.28,737.49,True,True,True
2023-06-07 06:00:00,1678.31,739.82,True,True,True
2023-06-07 07:00:00,1912.09,723.0,True,True,True
2023-06-08 02:00:00,1611.47,712.44,True,True,True
2023-06-08 03:00:00,1364.51,932.21,True,True,True
2023-06-08 04:00:00,1189.78,836.37,True,True,True
2023-06-08 05:00:00,1076.51,728.93,True,True,True
2023-06-08 06:00:00,950.84,727.69,True,True,True
2023-06-08 07:00:00,1102.55,748.45,True,True,True
2023-06-08 08:00:00,1175.39,772.65,True,True,True
2023-06-08 09:00:00,1247.09,727.74,True,True,True
2023-06-08 11:00:00,1557.84,700.15,True,True,True
2023-06-09 03:00:00,925.85,853.96,True,True,True
2023-06-09 04:00:00,836.95,839.97,True,True,True
2023-06-09 05:00:00,760.88,708.81,True,True,True
2023-06-09 06:00:00,700.91,728.56,True,True,True
2023-06-09 07:00:00,816.53,724.97,True,True,True
2023-06-09 09:00:00,1493.8,794.31,True,True,True
2023-06-10 06:00:00,981.2,824.17,True,True,True
2023-06-10 07:00:00,1001.5,958.4,True,True,True
2023-06-10 08:00:00,1547.72,831.83,True,True,True
2023-06-10 09:00:00,1640.08,707.85,True,True,True
2023-06-11 07:00:00,1632.23,869.66,True,True,True
2023-06-11 08:00:00,1654.94,758.72,True,True,True
2023-06-13 03:00:00,1379.63,869.15,True,True,True
2023-06-13 04:00:00,1150.8,829.87,True,True,True
2023-06-13 05:00:00,1233.8,783.69,True,True,True
2023-06-13 06:00:00,1024.23,748.23,True,True,True
2023-06-13 07:00:00,1471.4,751.35,True,True,True
2023-06-13 08:00:00,1615.79,722.81,True,True,True
2023-06-13 09:00:00,1689.04,892.04,True,True,True
2023-06-13 12:00:00,1651.99,720.03,True,True,True
2023-06-14 05:00:00,1270.67,782.36,True,True,True
2023-06-14 06:00:00,1193.6,763.99,True,True,True
2023-06-14 07:00:00,1148.53,742.03,True,True,True
2023-06-14 08:00:00,1147.88,737.77,True,True,True
2023-06-14 09:00:00,1293.4,762.39,True,True,True
2023-06-14 10:00:00,1409.46,749.31,True,True,True
2023-06-15 03:00:00,1377.09,769.54,True,True,True
2023-06-15 04:00:00,1369.89,769.54,True,True,True
2023-06-15 05:00:00,1320.81,743.36,True,True,True
2023-06-15 06:00:00,1164.52,727.21,True,True,True
2023-06-15 07:00:00,1367.07,727.56,True,True,True
2023-06-16 04:00:00,1892.59,719.41,True,True,True
2023-06-16 05:00:00,1751.68,720.87,True,True,True
2023-06-16 06:00:00,1520.46,729.07,True,True,True
2023-06-16 07:00:00,1748.53,700.39,True,True,True
2023-06-16 08:00:00,1613.21,731.49,True,True,True
2023-06-17 06:00:00,1565.13,727.48,True,True,True
2023-06-17 07:00:00,1598.9,862.68,True,True,True
2023-06-17 08:00:00,1565.94,783.32,True,True,True
2023-06-18 05:00:00,1260.54,704.22,True,True,True
2023-06-18 07:00:00,1449.37,858.92,True,True,True
2023-06-18 08:00:00,1589.45,798.34,True,True,True
2023-06-18 09:00:00,1532.36,742.07,True,True,True
2023-06-19 04:00:00,1789.49,710.47,True,True,True
2023-06-19 05:00:00,1769.77,727.71,True,True,True
2023-06-19 06:00:00,1654.87,740.75,True,True,True
2023-06-19 07:00:00,1751.38,748.13,True,True,True
2023-06-19 08:00:00,1527.2,763.33,True,True,True
2023-06-19 09:00:00,1677.02,737.17,True,True,True
2023-06-20 03:00:00,1710.77,764.79,True,True,True
2023-06-20 04:00:00,1729.86,760.71,True,True,True
2023-06-20 05:00:00,1726.52,729.05,True,True,True
2023-06-20 06:00:00,1686.5,724.54,True,True,True
2023-06-20 07:00:00,1653.26,714.23,True,True,True
2023-06-20 08:00:00,1651.61,732.28,True,True,True
2023-06-20 09:00:00,1712.05,706.98,True,True,True
2023-06-21 05:00:00,1652.1,731.11,True,True,True
2023-06-21 06:00:00,1680.98,758.71,True,True,True
2023-06-21 07:00:00,1607.36,765.16,True,True,True
2023-06-21 08:00:00,1568.84,797.16,True,True,True
2023-06-21 09:00:00,1549.23,733.66,True,True,True
2023-06-21 10:00:00,1635.66,715.48,True,True,True
2023-06-21 11:00:00,1933.11,710.67,True,True,True
2023-06-21 15:00:00,2073.78,766.71,True,True,True
2023-06-21 16:00:00,1845.62,704.86,True,True,True
2023-06-21 19:00:00,1834.05,706.11,True,True,True
2023-06-21 20:00:00,1819.08,736.89,True,True,True
2023-06-21 22:00:00,1604.61,732.61,True,True,True
2023-06-21 23:00:00,1557.09,710.56,True,True,True
2023-06-22 00:00:00,1498.77,702.36,True,True,True
2023-06-22 01:00:00,1458.14,724.8,True,True,True
2023-06-22 02:00:00,1479.02,840.63,True,True,True
2023-06-22 03:00:00,1221.21,966.31,True,True,True
2023-06-22 04:00:00,1616.95,925.77,True,True,True
2023-06-22 05:00:00,1305.27,816.95,True,True,True
2023-06-22 06:00:00,1513.26,790.88,True,True,True
2023-06-22 07:00:00,1413.61,810.72,True,True,True
2023-06-22 08:00:00,1477.11,780.57,True,True,True
2023-06-22 09:00:00,1588.43,779.37,True,True,True
2023-06-22 10:00:00,1738.03,797.67,True,True,True
2023-06-22 20:00:00,1564.89,715.44,True,True,True
2023-06-22 21:00:00,1560.37,718.7,True,True,True
2023-06-22 22:00:00,1540.27,740.29,True,True,True
2023-06-22 23:00:00,1566.52,714.47,True,True,True
2023-06-23 00:00:00,1614.01,725.61,True,True,True
2023-06-23 01:00:00,1536.2,727.16,True,True,True
2023-06-23 02:00:00,1591.02,720.79,True,True,True
2023-06-23 03:00:00,1626.95,903.97,True,True,True
2023-06-23 04:00:00,1741.99,846.12,True,True,True
2023-06-23 05:00:00,1637.3,791.44,True,True,True
2023-06-23 06:00:00,1637.97,799.87,True,True,True
2023-06-23 07:00:00,1702.4,748.06,True,True,True
2023-06-23 08:00:00,1569.66,711.74,True,True,True
2023-06-23 09:00:00,1629.96,806.44,True,True,True
2023-06-23 10:00:00,1558.73,759.62,True,True,True
2023-06-23 11:00:00,1724.88,706.36,True,True,True
